Date,Open,High,Low,Close,Adj Close,Volume
2025-04-23,3158.2,3200.4,3127.0,3154.4,3154.4,18552300
2025-04-22,3021.4,3092.2,3017.4,3078.0,3078.0,15910300
2025-04-21,3019.2,3021.2,2968.0,2997.2,2997.2,16147800
2025-04-17,3132.2,3141.4,3018.0,3067.2,3067.2,19513400
2025-04-16,3109.4,3163.6,3078.2,3110.0,3110.0,16921500
2025-04-15,3231.4,3241.0,3153.0,3173.6,3173.6,15690800
2025-04-14,3246.2,3280.6,3198.4,3229.4,3229.4,18255900
2025-04-11,3111.8,3197.2,3111.8,3188.0,3188.0,22582000
2025-04-10,3175.2,3200.6,3044.0,3107.4,3107.4,35270500
2025-04-09,2926.6,3237.4,2916.2,3221.2,3221.2,46479500
2025-04-08,3071.4,3088.8,2904.2,2931.6,2931.6,35304400
2025-04-07,2867.8,3098.6,2853.2,2984.8,2984.8,47823000
2025-04-04,2998.0,3061.8,2950.8,2954.8,2954.8,39832200
2025-04-03,3056.8,3093.8,3043.6,3052.6,3052.6,28416100
2025-04-02,3139.2,3205.4,3130.6,3177.2,3177.2,17113300
2025-04-01,3106.0,3201.6,3105.2,3177.6,3177.6,20111400
2025-03-31,3096.2,3142.6,3044.2,3124.6,3124.6,33591600
2025-03-28,3247.2,3276.2,3106.8,3121.2,3121.2,34866500
2025-03-27,3334.2,3348.8,3277.0,3281.6,3281.6,21571200
2025-03-26,3426.0,3438.8,3337.2,3342.8,3342.8,22498000
2025-03-25,3423.6,3458.2,3411.0,3455.8,3455.8,13841600
2025-03-24,3385.2,3410.0,3348.8,3398.6,3398.6,18742800
2025-03-21,3267.6,3329.4,3260.6,3325.0,3325.0,29882100
2025-03-20,3276.4,3340.6,3262.8,3301.0,3301.0,19981500
2025-03-19,3278.2,3362.6,3261.0,3325.6,3325.6,24955700
2025-03-18,3319.2,3328.8,3176.0,3253.4,3253.4,24616800
2025-03-17,3346.4,3369.2,3316.2,3331.4,3331.4,17839100
2025-03-14,3306.4,3365.0,3290.2,3352.4,3352.4,18611100
2025-03-13,3359.6,3362.4,3281.4,3294.6,3294.6,15206200
2025-03-12,3369.4,3390.6,3309.6,3380.0,3380.0,19880100
2025-03-11,3333.6,3373.0,3264.8,3319.6,3319.6,23705900
2025-03-10,3403.2,3409.0,3311.4,3356.2,3356.2,28990700
2025-03-07,3464.8,3538.0,3445.0,3515.0,3511.0,16395300
2025-03-06,3451.0,3534.6,3450.2,3484.2,3480.2,19082400
2025-03-05,3446.4,3515.0,3418.6,3499.8,3495.8,18848000
2025-03-04,3358.8,3503.2,3350.8,3452.2,3448.2,30711400
2025-03-03,3474.6,3500.0,3352.8,3373.2,3369.4,24122000
2025-02-28,3406.0,3450.0,3367.8,3444.4,3440.4,30049800
2025-02-27,3518.8,3531.8,3395.0,3404.2,3400.4,25930500
2025-02-26,3539.0,3561.6,3471.8,3494.0,3490.0,23637200
2025-02-25,3603.0,3615.2,3535.4,3547.4,3543.4,20832500
2025-02-24,3676.0,3701.8,3617.6,3623.8,3619.6,18734000
2025-02-21,3745.8,3749.4,3622.6,3631.6,3627.4,19520800
2025-02-20,3730.0,3742.4,3692.0,3732.8,3728.6,12063800
2025-02-19,3723.6,3747.2,3710.0,3742.6,3738.4,13120500
2025-02-18,3748.8,3755.6,3671.6,3716.0,3711.8,19796000
2025-02-14,3736.6,3763.0,3722.2,3737.4,3733.2,12714200
2025-02-13,3718.6,3759.8,3697.6,3757.6,3753.4,12729300
2025-02-12,3704.6,3736.6,3672.6,3708.6,3704.4,17632300
2025-02-11,3736.8,3776.0,3721.6,3741.4,3737.2,13028100
2025-02-10,3781.2,3799.8,3752.2,3764.0,3759.8,16606000
2025-02-07,3854.8,3860.2,3702.0,3742.8,3738.6,29565700
2025-02-06,3819.8,3876.6,3809.8,3866.2,3861.8,20816600
2025-02-05,3862.0,3891.0,3798.2,3866.0,3861.6,43666400
2025-02-04,4090.0,4174.0,4085.2,4154.2,4149.4,28285400
2025-02-03,4044.2,4104.4,4033.2,4052.8,4048.2,16719500
2025-01-31,4074.2,4141.6,4071.6,4112.0,4107.4,17087300
2025-01-30,3995.2,4064.8,3989.4,4052.6,4048.0,14571500
2025-01-29,3947.4,3969.2,3903.8,3943.6,3939.2,12287800
2025-01-28,3893.0,3944.6,3852.2,3941.4,3937.0,15939200
2025-01-27,3883.8,3973.4,3854.0,3875.4,3871.0,24970200
2025-01-24,3997.0,4051.4,3995.6,4038.0,4033.4,12732400
2025-01-23,3999.6,4038.8,3936.4,3991.6,3987.0,15170800
2025-01-22,4011.0,4042.4,3984.0,4000.6,3996.0,15477400
2025-01-21,4010.2,4076.8,3988.8,3992.6,3988.0,19005200
2025-01-17,3961.0,3976.2,3906.2,3951.0,3946.6,22109100
2025-01-16,3916.4,3939.6,3886.0,3888.2,3883.8,13449600
2025-01-15,3887.0,3956.0,3866.6,3939.6,3935.2,12894900
2025-01-14,3850.0,3865.4,3792.8,3821.0,3816.6,13651200
2025-01-13,3827.0,3849.8,3773.2,3845.8,3841.4,13169100
2025-01-10,3908.4,3952.4,3832.0,3863.4,3859.0,20753800
2025-01-08,3879.0,3952.8,3875.0,3907.8,3903.4,14335300
2025-01-07,3965.4,4042.8,3918.8,3934.2,3929.8,16966800
2025-01-06,3903.0,3991.2,3901.2,3959.2,3954.6,19483300
2025-01-03,3854.6,3890.0,3827.0,3862.6,3858.2,12875000
2025-01-02,3829.8,3864.0,3774.2,3812.6,3808.2,17545200
2024-12-31,3849.0,3865.0,3791.6,3808.8,3804.4,14355200
2024-12-30,3817.4,3875.6,3807.2,3853.8,3849.4,12209500
2024-12-27,3929.4,3936.0,3839.4,3880.8,3876.4,14693000
2024-12-26,3934.8,3963.2,3917.4,3942.0,3937.6,7907900
2024-12-24,3923.4,3953.4,3904.0,3951.4,3947.0,6809800
2024-12-23,3880.6,3929.8,3832.6,3919.8,3915.4,15235900
2024-12-20,3740.2,3882.6,3727.4,3859.2,3854.8,45319700
2024-12-19,3865.6,3892.0,3790.4,3794.0,3789.6,26981200
2024-12-18,3936.6,3973.8,3785.6,3803.0,3798.6,27638400
2024-12-17,3970.6,4057.6,3933.8,3942.4,3938.0,24129500
2024-12-16,3887.4,4012.8,3882.2,3963.2,3958.6,32248600
2024-12-13,3854.2,3886.8,3825.2,3827.6,3823.2,18883200
2024-12-12,3926.0,3934.2,3865.6,3872.6,3868.2,25197800
2024-12-11,3734.0,3937.8,3725.2,3934.2,3929.8,41664500
2024-12-10,3690.8,3760.6,3653.4,3730.6,3726.4,34317400
2024-12-09,3514.2,3560.8,3508.0,3542.0,3538.0,19887800
2024-12-06,3477.6,3536.8,3471.0,3529.8,3521.8,13319500
2024-12-05,3546.4,3554.2,3480.2,3486.2,3478.2,16145500
2024-12-04,3455.6,3528.6,3455.0,3521.8,3513.8,18239800
2024-12-03,3462.4,3486.4,3450.2,3460.4,3452.6,15721500
2024-12-02,3406.4,3472.0,3405.4,3459.6,3451.8,16593400
2024-11-29,3401.2,3417.4,3375.0,3409.8,3402.0,9250700
2024-11-27,3413.6,3422.8,3393.4,3416.4,3408.6,12433400
2024-11-26,3389.8,3429.8,3388.6,3412.4,3404.6,14937500
2024-11-25,3359.8,3409.2,3348.0,3388.6,3381.0,21395700
2024-11-22,3343.2,3365.2,3314.2,3331.4,3323.8,24497000
2024-11-21,3509.2,3511.6,3306.2,3384.8,3377.2,38839400
2024-11-20,3576.6,3582.2,3506.6,3546.6,3538.6,15729800
2024-11-19,3504.8,3603.4,3502.4,3591.6,3583.4,15392900
2024-11-18,3499.2,3538.2,3488.4,3536.0,3528.0,18725400
2024-11-15,3512.8,3517.6,3454.8,3477.8,3470.0,21708900
2024-11-14,3595.0,3609.0,3520.6,3547.0,3539.0,17925800
2024-11-13,3643.0,3652.4,3602.4,3609.8,3601.6,13969700
2024-11-12,3627.6,3680.4,3619.8,3666.4,3658.0,14065800
2024-11-11,3601.4,3641.8,3599.8,3639.4,3631.2,12503400
2024-11-08,3640.0,3647.0,3591.4,3597.2,3589.0,15021500
2024-11-07,3582.2,3651.6,3577.8,3645.6,3637.4,16730400
2024-11-06,3507.0,3572.8,3500.8,3566.6,3558.6,27061500
2024-11-05,3416.6,3442.0,3407.4,3428.2,3420.4,12518300
2024-11-04,3424.8,3438.4,3389.8,3413.6,3405.8,16194000
2024-11-01,3430.8,3476.4,3406.2,3453.0,3445.2,21752900
2024-10-31,3494.4,3568.4,3451.2,3453.8,3446.0,32801900
2024-10-30,3648.2,3675.8,3514.8,3522.8,3514.8,49698300
2024-10-29,3387.6,3437.2,3373.2,3422.8,3415.0,28916100
2024-10-28,3411.8,3412.2,3315.8,3366.8,3359.2,20858300
2024-10-25,3307.4,3348.0,3304.6,3339.8,3332.2,14566400
2024-10-24,3291.8,3301.0,3255.4,3290.6,3283.2,12764400
2024-10-23,3328.6,3352.0,3272.6,3289.6,3282.2,12754300
2024-10-22,3294.0,3349.4,3293.4,3336.4,3328.8,11958600
2024-10-21,3291.6,3324.4,3286.0,3316.0,3308.4,11384000
2024-10-18,3297.4,3327.4,3295.0,3301.0,3293.6,13091300
2024-10-17,3347.6,3358.6,3287.4,3290.2,3282.8,15113400
2024-10-16,3320.6,3345.6,3304.4,3334.8,3327.2,9968500
2024-10-15,3342.8,3381.8,3321.0,3338.0,3330.4,14829300
2024-10-14,3298.2,3352.4,3295.6,3327.0,3319.4,9981800
2024-10-11,3266.6,3305.4,3250.0,3290.4,3283.0,10946000
2024-10-10,3242.2,3286.2,3232.8,3263.6,3256.2,12900500
2024-10-09,3297.0,3325.2,3222.4,3261.2,3253.8,19666400
2024-10-08,3308.6,3322.0,3286.2,3314.0,3306.4,11723900
2024-10-07,3382.8,3398.0,3282.6,3287.8,3280.4,14034700
2024-10-04,3386.8,3391.0,3339.2,3371.2,3363.6,11422100
2024-10-03,3316.4,3358.2,3307.4,3344.2,3336.6,11004300
2024-10-02,3355.2,3377.6,3325.0,3346.2,3338.6,12745000
2024-10-01,3377.2,3408.8,3318.0,3368.4,3360.8,18629500
2024-09-30,3295.6,3347.2,3292.8,3343.8,3336.2,14070100
2024-09-27,3278.2,3339.4,3276.6,3305.8,3298.2,13604300
2024-09-26,3300.6,3310.0,3270.0,3276.6,3269.2,18234500
2024-09-25,3259.4,3284.4,3255.4,3259.8,3252.4,13607900
2024-09-24,3285.0,3291.0,3240.6,3272.8,3265.4,18774100
2024-09-23,3306.8,3332.2,3259.0,3261.4,3254.0,15648400
2024-09-20,3290.4,3295.0,3263.6,3292.8,3285.4,46362700
2024-09-19,3296.4,3299.8,3250.4,3264.8,3257.4,17548200
2024-09-18,3217.0,3232.6,3193.2,3216.2,3208.8,16756500
2024-09-17,3201.8,3231.8,3188.2,3205.6,3198.4,12064800
2024-09-16,3166.6,3184.8,3152.2,3179.8,3172.6,14157600
2024-09-13,3127.2,3185.4,3122.2,3167.4,3160.2,16733900
2024-09-12,3096.2,3112.2,3070.0,3110.8,3103.8,21024100
2024-09-11,3021.8,3049.6,2974.0,3043.0,3036.0,18991500
2024-09-10,3029.0,3046.0,2990.8,3000.2,2993.4,20401800
2024-09-09,3072.6,3092.8,2964.0,2990.8,2984.0,28057700
2024-09-06,3173.8,3184.4,3038.6,3042.6,3031.8,24999100
2024-09-05,3155.6,3220.2,3150.4,3172.0,3160.6,14139500
2024-09-04,3161.4,3208.0,3148.8,3156.2,3144.8,17410700
2024-09-03,3266.4,3267.6,3157.0,3172.2,3160.8,26533100
2024-08-30,3284.4,3305.6,3268.2,3302.2,3290.4,18498800
2024-08-29,3321.2,3352.6,3239.6,3268.0,3256.2,17133800
2024-08-28,3335.6,3347.8,3265.6,3290.0,3278.2,15208700
2024-08-27,3352.2,3364.8,3323.2,3327.6,3315.6,13718200
2024-08-26,3363.0,3387.6,3326.4,3358.6,3346.6,11990300
2024-08-23,3331.0,3359.0,3313.2,3348.6,3336.6,14281600
2024-08-22,3380.8,3388.4,3300.6,3309.8,3298.0,19123800
2024-08-21,3339.8,3372.8,3331.4,3352.6,3340.6,15269600
2024-08-20,3374.8,3408.2,3373.2,3379.2,3367.0,12622500
2024-08-19,3340.0,3369.4,3321.8,3368.0,3356.0,13100800
2024-08-16,3268.2,3339.0,3261.6,3294.8,3283.0,16853100
2024-08-15,3244.2,3270.4,3229.8,3263.4,3251.8,18392500
2024-08-14,3284.2,3299.2,3190.6,3240.6,3229.0,22515900
2024-08-13,3303.6,3330.8,3295.4,3318.6,3306.8,12717600
2024-08-12,3319.8,3334.0,3271.0,3279.0,3267.2,12435000
2024-08-09,3233.0,3310.4,3218.6,3307.8,3296.0,13549200
2024-08-08,3246.8,3310.0,3240.6,3276.8,3265.0,15733600
2024-08-07,3264.8,3295.8,3204.8,3215.0,3203.4,19334200
2024-08-06,3219.0,3247.0,3162.6,3210.8,3199.4,36146500
2024-08-05,3147.4,3318.8,3132.0,3212.8,3201.2,34907800
2024-08-02,3363.8,3404.2,3327.8,3368.0,3356.0,18907800
2024-08-01,3439.6,3513.6,3410.2,3449.0,3436.6,17177800
2024-07-31,3498.4,3518.2,3434.4,3463.0,3450.6,15650200
2024-07-30,3436.6,3459.0,3402.4,3437.2,3424.8,13681400
2024-07-29,3410.0,3443.2,3394.4,3422.6,3410.4,13768900
2024-07-26,3375.4,3396.8,3317.4,3373.6,3361.6,25150100
2024-07-25,3485.0,3504.0,3381.0,3383.2,3371.0,28967900
2024-07-24,3507.8,3559.0,3471.4,3487.4,3475.0,31250700
2024-07-23,3676.8,3704.4,3666.6,3672.0,3658.8,23772600
2024-07-22,3647.0,3686.0,3638.0,3667.0,3653.8,16303900
2024-07-19,3607.4,3639.4,3577.2,3587.8,3575.0,14485900
2024-07-18,3670.8,3681.0,3564.2,3584.4,3571.6,17877200
2024-07-17,3693.6,3704.6,3632.4,3652.4,3639.4,17376600
2024-07-16,3779.2,3806.8,3702.4,3710.0,3696.8,12760100
2024-07-15,3729.8,3798.0,3729.8,3763.8,3750.4,12186000
2024-07-12,3738.4,3773.8,3722.8,3735.6,3722.2,14449100
2024-07-11,3826.8,3848.2,3736.4,3746.0,3732.6,16452000
2024-07-10,3815.0,3866.2,3812.4,3853.2,3839.4,12052900
2024-07-09,3835.0,3857.2,3804.6,3808.8,3795.2,10198500
2024-07-08,3827.4,3833.6,3786.4,3809.6,3796.0,12097600
2024-07-05,3746.4,3845.2,3746.4,3839.2,3825.4,14303400
2024-07-03,3726.0,3752.4,3707.6,3747.8,3734.4,7409100
2024-07-02,3669.4,3739.0,3661.2,3732.2,3718.8,12555500
2024-07-01,3689.6,3706.8,3654.6,3689.8,3676.6,11815900
2024-06-28,3714.4,3731.6,3666.4,3668.4,3655.2,23032400
2024-06-27,3713.0,3750.0,3709.0,3737.2,3723.8,13025700
2024-06-26,3684.0,3718.6,3679.8,3707.4,3694.2,13375700
2024-06-25,3623.0,3715.0,3622.0,3711.6,3698.4,18917700
2024-06-24,3625.6,3641.6,3604.6,3615.8,3602.8,18198300
2024-06-21,3569.8,3650.2,3561.2,3605.2,3592.2,59728000
2024-06-20,3534.2,3574.8,3529.2,3554.2,3541.4,16753200
2024-06-18,3575.8,3578.2,3512.4,3529.0,3516.4,15640300
2024-06-17,3539.6,3598.4,3529.8,3575.6,3562.8,15272900
2024-06-14,3517.0,3574.6,3517.0,3567.4,3554.6,12361600
2024-06-13,3556.8,3570.2,3533.2,3534.8,3522.2,15956900
2024-06-12,3595.0,3641.6,3555.6,3591.2,3578.4,18600400
2024-06-11,3554.4,3567.8,3508.8,3563.8,3551.0,14402400
2024-06-10,3529.0,3569.4,3487.6,3532.6,3520.0,17122200
2024-06-07,3569.2,3588.4,3515.8,3519.0,3502.4,14716300
2024-06-06,3548.6,3574.2,3544.2,3567.0,3550.2,14255800
2024-06-05,3530.8,3559.4,3505.8,3541.4,3524.8,15233900
2024-06-04,3489.0,3503.8,3464.4,3502.6,3486.0,14066600
2024-06-03,3477.6,3517.2,3449.0,3488.4,3472.0,20742800
2024-05-31,3468.0,3488.4,3419.4,3479.2,3462.8,28085200
2024-05-30,3533.8,3533.8,3464.6,3471.2,3454.8,18844000
2024-05-29,3536.2,3564.6,3525.2,3548.0,3531.2,15023800
2024-05-28,3514.8,3570.2,3513.6,3560.4,3543.6,15655300
2024-05-24,3530.4,3546.0,3504.0,3526.6,3510.0,11400600
2024-05-23,3575.6,3598.2,3490.8,3501.2,3484.6,14928400
2024-05-22,3568.0,3577.0,3535.6,3560.0,3543.2,16189400
2024-05-21,3568.0,3596.4,3546.2,3590.8,3573.8,14706000
2024-05-20,3546.2,3599.0,3544.6,3569.2,3552.4,17495100
2024-05-17,3511.0,3549.8,3499.6,3545.8,3529.0,16546400
2024-05-16,3492.0,3526.8,3481.0,3508.6,3492.0,17247300
2024-05-15,3446.0,3481.0,3440.6,3477.6,3461.2,20958200
2024-05-14,3431.8,3455.6,3408.4,3438.6,3422.4,18729500
2024-05-13,3317.0,3419.0,3315.2,3418.0,3401.8,19648600
2024-05-10,3393.8,3426.8,3358.2,3405.8,3389.8,18740500
2024-05-09,3423.0,3448.8,3398.6,3431.6,3415.4,11937700
2024-05-08,3415.0,3438.2,3410.4,3423.2,3407.0,14569900
2024-05-07,3402.4,3469.4,3400.0,3459.6,3443.2,21102400
2024-05-06,3384.4,3398.0,3357.8,3396.6,3380.6,15147900
2024-05-03,3390.8,3397.0,3299.6,3379.8,3363.8,22767100
2024-05-02,3333.4,3370.6,3313.8,3369.2,3353.4,17041100
2024-05-01,3323.6,3376.2,3298.0,3311.4,3295.8,25223200
2024-04-30,3347.6,3397.4,3290.0,3292.8,3277.2,29420800
2024-04-29,3415.4,3427.6,3341.2,3358.0,3342.2,35914600
2024-04-26,3519.8,3528.4,3428.0,3473.8,3457.4,56500800
2024-04-25,3067.2,3165.6,3055.4,3159.0,3144.2,36197800
2024-04-24,3181.8,3227.8,3176.4,3222.0,3206.8,19485700
2024-04-23,3171.8,3209.6,3159.2,3198.4,3183.4,16115400
2024-04-22,3120.2,3183.6,3113.2,3159.0,3144.2,17243900
2024-04-19,3155.0,3159.8,3078.2,3114.4,3099.8,20063900
2024-04-18,3138.6,3169.8,3124.2,3149.2,3134.4,14016100
2024-04-17,3143.8,3173.6,3122.6,3137.6,3122.8,16237800
2024-04-16,3112.8,3144.6,3101.0,3120.0,3105.2,15413200
2024-04-15,3205.6,3216.6,3123.0,3126.6,3111.8,21140900
2024-04-12,3188.0,3234.0,3172.0,3183.8,3168.8,16968200
2024-04-11,3166.8,3222.4,3158.6,3215.8,3200.6,17841700
2024-04-10,3157.6,3163.2,3124.0,3153.2,3138.4,16339200
2024-04-09,3147.0,3197.8,3132.8,3162.8,3147.8,21538100
2024-04-08,3080.2,3133.0,3079.8,3122.8,3108.0,16641500
2024-04-05,3033.6,3096.8,3021.6,3078.8,3064.2,16289800
2024-04-04,3101.6,3123.6,3037.6,3038.8,3024.4,24184800
2024-04-03,3098.4,3131.0,3082.6,3127.4,3112.6,17266200
2024-04-02,3095.0,3119.8,3069.2,3117.4,3102.8,17598100
2024-04-01,3036.6,3140.0,3033.0,3130.0,3115.2,24469800
2024-03-28,3040.0,3053.4,3026.6,3045.2,3030.8,21105600
2024-03-27,3043.0,3053.8,3002.6,3038.8,3024.4,16622000
2024-03-26,3024.8,3064.0,3020.6,3034.0,3019.6,19312700
2024-03-25,3019.0,3029.2,2976.0,3023.0,3008.8,15114700
2024-03-22,3004.8,3051.2,3001.8,3035.4,3021.0,19226300
2024-03-21,3006.4,3026.0,2960.2,2974.8,2960.8,19843900
2024-03-20,2975.8,2995.2,2953.2,2993.6,2979.4,17730000
2024-03-19,2979.6,2992.4,2940.2,2958.4,2944.4,17748400
2024-03-18,2987.4,3058.6,2962.8,2969.6,2955.6,47676700
2024-03-15,2868.2,2886.8,2822.6,2843.4,2830.0,41025900
2024-03-14,2846.0,2894.6,2829.8,2886.8,2873.2,36117900
2024-03-13,2801.2,2843.8,2800.2,2815.4,2802.2,19637000
2024-03-12,2765.0,2805.6,2764.2,2792.4,2779.2,19019700
2024-03-11,2741.4,2799.6,2741.4,2778.8,2765.8,22536400
2024-03-08,2700.8,2779.8,2696.0,2725.8,2713.0,26472400
2024-03-07,2677.8,2716.4,2653.2,2704.8,2692.0,24107300
2024-03-06,2684.8,2694.8,2639.0,2651.2,2638.8,23175200
2024-03-05,2654.8,2680.4,2631.0,2675.6,2663.0,28447600
2024-03-04,2730.8,2732.6,2657.2,2684.0,2671.4,43571500
2024-03-01,2792.2,2800.0,2759.6,2761.6,2748.6,28522000
2024-02-29,2767.0,2799.0,2751.4,2795.6,2782.4,35485000
2024-02-28,2782.0,2785.6,2732.8,2748.6,2735.6,30628700
2024-02-27,2788.2,2809.8,2770.0,2802.0,2788.8,22364000
2024-02-26,2869.0,2876.8,2774.8,2775.0,2762.0,33513000
2024-02-23,2899.4,2919.2,2895.8,2905.8,2892.2,14519400
2024-02-22,2922.4,2924.0,2880.2,2906.4,2892.6,23024700
2024-02-21,2852.8,2879.6,2838.2,2876.8,2863.2,16499600
2024-02-20,2818.8,2866.6,2816.0,2844.0,2830.6,18625600
2024-02-16,2884.2,2889.6,2830.4,2835.2,2821.8,21849700
2024-02-15,2889.2,2895.2,2837.6,2878.8,2865.2,26724300
2024-02-14,2947.4,2956.6,2911.0,2942.8,2929.0,16651800
2024-02-13,2921.4,2960.8,2902.2,2927.4,2913.6,18138500
2024-02-12,2990.8,3011.8,2971.2,2974.6,2960.6,17236100
2024-02-09,2959.0,3014.0,2948.6,3004.4,2990.2,21877700
2024-02-08,2939.4,2952.2,2928.4,2944.4,2930.6,18241300
2024-02-07,2922.4,2940.0,2904.2,2933.6,2919.8,21436100
2024-02-06,2919.2,2934.8,2890.4,2908.2,2894.4,21517700
2024-02-05,2880.8,2933.4,2878.2,2898.6,2885.0,29254400
2024-02-02,2817.8,2877.6,2763.4,2870.8,2857.2,42116900
2024-02-01,2873.8,2892.4,2845.2,2854.2,2840.8,25526900
2024-01-31,2907.8,2911.8,2831.0,2836.0,2822.6,43908600
2024-01-30,3080.2,3100.8,3055.4,3061.0,3046.6,26578900
2024-01-29,3072.8,3104.0,3058.4,3096.8,3082.2,20909300
2024-01-26,3057.4,3082.2,3056.0,3075.8,3061.4,19494500
2024-01-25,3034.8,3095.2,3024.4,3072.8,3058.4,21495100
2024-01-24,3005.8,3031.4,2996.8,3007.0,2992.8,19245000
2024-01-23,2954.4,2977.2,2943.8,2973.6,2959.6,14113600
2024-01-22,2974.2,3000.2,2951.6,2954.2,2940.2,21829200
2024-01-19,2926.0,2960.8,2916.0,2959.4,2945.4,27170900
2024-01-18,2868.8,2911.8,2867.0,2899.8,2886.2,18876800
2024-01-17,2858.2,2868.2,2810.2,2857.8,2844.4,17884500
2024-01-16,2868.6,2916.8,2861.2,2881.6,2868.0,19198900
2024-01-12,2886.8,2894.8,2867.2,2884.8,2871.2,13995200
2024-01-11,2898.0,2933.2,2844.2,2873.4,2859.8,17471100
2024-01-10,2850.4,2890.4,2849.2,2876.0,2862.4,16641900
2024-01-09,2801.2,2856.0,2795.8,2851.2,2837.8,19579700
2024-01-08,2760.0,2812.8,2757.6,2810.6,2797.4,17645300
2024-01-05,2767.0,2776.2,2737.0,2747.8,2734.8,15433200
2024-01-04,2797.0,2812.6,2760.2,2760.8,2747.8,18253300
2024-01-03,2772.0,2821.8,2768.6,2807.2,2794.0,18974300
2024-01-02,2792.0,2812.4,2754.8,2791.2,2778.0,20071900
2023-12-29,2813.6,2828.6,2798.0,2818.6,2805.4,14872700
2023-12-28,2837.0,2845.4,2816.6,2825.6,2812.2,12192500
2023-12-27,2856.6,2866.4,2821.0,2828.8,2815.4,17288400
2023-12-26,2859.6,2879.0,2850.0,2856.4,2843.0,11170100
2023-12-22,2842.6,2865.0,2841.0,2854.4,2841.0,18494700
2023-12-21,2815.4,2840.6,2809.4,2836.0,2822.6,18101500
2023-12-20,2806.6,2861.6,2788.2,2793.2,2780.0,33507300
